Genero,Ubica,Edad,Salarios
f,Urbano,47.0,2
f,Urbano,46.0,4
f,Rural,49.0,5
f,Rural,47.0,2
f,Rural,47.0,3
m,Rural,46.0,4
m,Urbano,43.0,4
m,Rural,45.0,4
m,Rural,46.0,5
f,Urbano,47.0,5
f,Rural,46.0,4
m,Urbano,46.0,5
f,Urbano,46.0,3
f,Urbano,46.0,3
m,Rural,45.0,2
f,Rural,44.0,4
m,Urbano,46.0,4
m,Rural,47.0,4
f,Rural,50.0,3
f,Rural,47.0,2
m,Urbano,47.0,4
m,Urbano,46.0,5
m,Urbano,47.0,5
m,Urbano,47.0,5
m,Rural,45.0,4
f,Rural,44.0,5
m,Urbano,48.0,4
m,Rural,48.0,5
m,Urbano,47.0,4
m,Urbano,45.0,5
m,Urbano,46.0,3
m,Urbano,48.0,4
